Departure_Date,Group_Number,Pre-order_Date,Sex,Age,Region,Pre-order_Count,Has_NaN_Sex,Has_NaN_Age,Has_NaN_Residence,Is_Female,Is_30s,Is_China,quantity,sales,engaged,Sales_in_real,Quantity_in_real,Diff_Dep_Pre
2024-06-04,1,2024-05-31,Female,30s,China,1.0,0,0,0,1,1,1,0.0,0.0,0.0,84060.0,20.0,4
2024-06-04,1,2024-06-01,Male,30s,Other,10.0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,3
2024-06-04,1,2024-06-01,Male,30s,Other,6.0,0,0,0,0,1,0,0.0,0.0,0.0,162447.0,48.0,3
2024-06-04,1,2024-05-28,Male,30s,Other,5.0,0,0,0,0,1,0,0.0,0.0,0.0,19950.0,3.0,7
2024-06-04,2,2024-05-31,Female,40s,China,1.0,0,0,0,1,0,1,0.0,0.0,0.0,72280.0,16.0,4
2024-06-04,3,2024-05-31,,,,10.0,1,1,1,0,0,0,0.0,0.0,0.0,0.0,0.0,4
2024-06-04,2,2024-05-24,,,,1.0,1,1,1,0,0,0,0.0,0.0,0.0,10000.0,1.0,11
2024-06-04,1,2024-06-03,,,,1.0,1,1,1,0,0,0,0.0,0.0,0.0,140960.0,11.0,1
2024-06-04,2,2024-06-02,,,,1.0,1,1,1,0,0,0,0.0,0.0,0.0,11619.0,12.0,2
2024-06-04,3,2024-05-31,,,,1.0,1,1,1,0,0,0,0.0,0.0,0.0,12360.0,3.0,4
2024-06-04,3,2024-06-02,,,,1.0,1,1,1,0,0,0,0.0,0.0,0.0,148979.0,37.0,2
2024-06-04,1,2024-06-01,,,,1.0,1,1,1,0,0,0,0.0,0.0,0.0,182380.0,40.0,3
2024-06-04,1,2024-05-25,Female,30s,Japan,1.0,0,0,0,1,1,0,0.0,0.0,0.0,0.0,0.0,10
2024-06-04,2,2024-05-21,Female,30s,China,1.0,0,0,0,1,1,1,0.0,0.0,0.0,0.0,0.0,14
2024-06-04,1,2024-05-30,,,,3.0,1,1,1,0,0,0,0.0,0.0,0.0,0.0,0.0,5
2024-06-04,3,2024-06-02,,,,1.0,1,1,1,0,0,0,0.0,0.0,0.0,0.0,0.0,2
2024-06-04,1,2024-06-02,,,,1.0,1,1,1,0,0,0,0.0,0.0,0.0,0.0,0.0,2
2024-06-04,2,2024-06-02,,,,1.0,1,1,1,0,0,0,0.0,0.0,0.0,0.0,0.0,2
2024-06-04,2,2024-06-01,,,,1.0,1,1,1,0,0,0,0.0,0.0,0.0,59640.0,14.0,3
