Departure_Date,Group_Number,Pre-order_Date,Sex,Age,Region,Pre-order_Count,Has_NaN_Sex,Has_NaN_Age,Has_NaN_Residence,Is_Female,Is_30s,Is_China,quantity,sales,engaged,Sales_in_real,Quantity_in_real,Diff_Dep_Pre
2024-06-04,3,2024-06-01,Female,20s,China,1,0,0,0,1,0,1,0.0,0.0,0.0,84512.0,30.0,3
2024-06-04,3,2024-05-23,Female,30s,China,1,0,0,0,1,1,1,0.0,0.0,0.0,0.0,0.0,12
2024-06-04,2,2024-05-28,Female,30s,China,3,0,0,0,1,1,1,0.0,0.0,0.0,13200.0,5.0,7
2024-06-04,3,2024-06-03,Female,30s,China,1,0,0,0,1,1,1,0.0,0.0,0.0,44956.0,12.0,1
2024-06-04,1,2024-06-01,Female,30s,China,10,0,0,0,1,1,1,0.0,0.0,0.0,13260.0,3.0,3
2024-06-04,2,2024-06-02,Female,30s,China,5,0,0,0,1,1,1,2.0,7790.0,1.0,27490.0,5.0,2
2024-06-04,3,2024-05-31,Female,30s,China,1,0,0,0,1,1,1,0.0,0.0,0.0,84060.0,20.0,4
2024-06-04,1,2024-05-26,Male,30s,Other,8,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,9
2024-06-04,3,2024-06-02,Male,50s,Japan,1,0,0,0,0,0,0,0.0,0.0,0.0,31660.0,7.0,2
2024-06-04,3,2024-06-02,Male,30s,Other,2,0,0,0,0,1,0,0.0,0.0,0.0,3783.0,1.0,2
2024-06-04,2,2024-06-01,Male,30s,Other,1,0,0,0,0,1,0,0.0,0.0,0.0,23300.0,2.0,3
2024-06-04,1,2024-06-01,Male,30s,Other,6,0,0,0,0,1,0,0.0,0.0,0.0,162447.0,48.0,3
2024-06-04,3,2024-06-02,Female,30s,Taiwan,1,0,0,0,1,1,0,0.0,0.0,0.0,56339.0,24.0,2
2024-06-04,1,2024-06-02,Female,30s,China,10,0,0,0,1,1,1,0.0,0.0,0.0,0.0,0.0,2
2024-06-04,1,2024-05-31,Female,40s,China,1,0,0,0,1,0,1,0.0,0.0,0.0,72280.0,16.0,4
2024-06-04,2,2024-05-12,Female,30s,China,1,0,0,0,1,1,1,0.0,0.0,0.0,3400.0,2.0,23
2024-06-04,2,2024-06-02,Male,20s,China,2,0,0,0,0,0,1,0.0,0.0,0.0,32700.0,7.0,2
2024-06-04,3,2024-06-03,Female,30s,China,3,0,0,0,1,1,1,0.0,0.0,0.0,145000.0,13.0,1
2024-06-04,1,2024-05-11,Female,50s,China,3,0,0,0,1,0,1,0.0,0.0,0.0,5000.0,1.0,24
2024-06-04,1,2024-06-02,Female,40s,China,2,0,0,0,1,0,1,0.0,0.0,0.0,0.0,0.0,2
2024-06-04,2,2024-05-15,Male,30s,China,1,0,0,0,0,1,1,0.0,0.0,0.0,0.0,0.0,20
2024-06-04,3,2024-05-31,,,,10,1,1,1,0,0,0,0.0,0.0,0.0,0.0,0.0,4
